#OTUID	GLOMICON_AWI_12	GLOMICON_AWI_16	GLOMICON_AWI_20	GLOMICON_AWI_4	GLOMICON_AWI_8	GLOMICON_NOC_10	GLOMICON_NOC_16	GLOMICON_NOC_22	GLOMICON_NOC_3	GLOMICON_NOC_32	GLOMICON_Roscoff_11	GLOMICON_Roscoff_15	GLOMICON_Roscoff_19	GLOMICON_Roscoff_3	GLOMICON_Roscoff_7
ASV_340	0.0	0.0	0.0	0.0	0.0	177.0	355.0	376.0	455.0	309.0	0.0	0.0	0.0	0.0	0.0
ASV_345	0.0	0.0	0.0	0.0	0.0	494.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	129.0	950.0
ASV_352	158.0	222.0	340.0	147.0	86.0	51.0	146.0	119.0	144.0	95.0	23.0	0.0	5.0	11.0	41.0
ASV_357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	620.0	182.0	495.0	173.0
ASV_358	0.0	0.0	0.0	0.0	0.0	81.0	161.0	185.0	180.0	180.0	255.0	93.0	84.0	101.0	220.0
ASV_359	0.0	0.0	0.0	0.0	0.0	252.0	254.0	250.0	442.0	341.0	0.0	0.0	0.0	0.0	0.0
ASV_361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	13.0	0.0	189.0	288.0	121.0	421.0	488.0
ASV_364	310.0	260.0	291.0	427.0	232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_365	0.0	0.0	0.0	0.0	0.0	106.0	206.0	116.0	179.0	103.0	231.0	110.0	56.0	215.0	197.0
ASV_367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1507.0
ASV_369	0.0	0.0	0.0	0.0	0.0	49.0	112.0	59.0	106.0	109.0	356.0	153.0	72.0	229.0	250.0
ASV_372	0.0	0.0	25.0	32.0	22.0	32.0	88.0	55.0	90.0	104.0	305.0	195.0	103.0	182.0	232.0
ASV_376	290.0	235.0	333.0	386.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_378	0.0	0.0	0.0	0.0	0.0	151.0	268.0	228.0	389.0	159.0	64.0	0.0	0.0	78.0	89.0
ASV_381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	437.0	261.0	108.0	277.0	337.0
ASV_382	35.0	44.0	56.0	47.0	22.0	95.0	187.0	167.0	249.0	192.0	99.0	50.0	35.0	75.0	66.0
ASV_386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	416.0	219.0	107.0	275.0	385.0
ASV_387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	307.0	297.0	105.0	331.0	357.0
ASV_389	258.0	202.0	435.0	277.0	196.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0
ASV_396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296.0	263.0	116.0	302.0	385.0
ASV_401	261.0	254.0	419.0	252.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_402	0.0	0.0	0.0	0.0	0.0	40.0	82.0	85.0	70.0	68.0	312.0	157.0	71.0	209.0	247.0
ASV_406	0.0	0.0	0.0	0.0	0.0	127.0	235.0	217.0	272.0	171.0	61.0	51.0	0.0	66.0	106.0
ASV_408	0.0	0.0	0.0	0.0	0.0	470.0	135.0	96.0	230.0	363.0	0.0	0.0	0.0	0.0	0.0
ASV_410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	348.0	241.0	122.0	281.0	295.0
ASV_419	0.0	0.0	0.0	0.0	0.0	161.0	197.0	223.0	343.0	203.0	48.0	21.0	0.0	26.0	39.0
ASV_421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	217.0	100.0	283.0	304.0
ASV_423	251.0	213.0	263.0	277.0	231.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_424	0.0	0.0	0.0	0.0	0.0	70.0	157.0	115.0	205.0	109.0	139.0	102.0	50.0	142.0	146.0
ASV_426	144.0	184.0	211.0	248.0	94.0	45.0	80.0	64.0	107.0	56.0	0.0	0.0	0.0	0.0	0.0
ASV_427	209.0	215.0	359.0	279.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_428	124.0	145.0	209.0	172.0	109.0	40.0	37.0	34.0	72.0	26.0	44.0	55.0	20.0	74.0	62.0
ASV_430	0.0	0.0	0.0	0.0	0.0	62.0	57.0	69.0	97.0	72.0	233.0	138.0	70.0	138.0	269.0
ASV_431	0.0	0.0	0.0	0.0	0.0	89.0	218.0	131.0	220.0	203.0	84.0	51.0	22.0	71.0	112.0
ASV_444	0.0	0.0	0.0	0.0	0.0	127.0	173.0	141.0	307.0	177.0	53.0	33.0	15.0	62.0	73.0
ASV_446	245.0	215.0	299.0	241.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_447	0.0	0.0	0.0	0.0	0.0	149.0	253.0	245.0	322.0	156.0	0.0	0.0	0.0	14.0	9.0
ASV_448	0.0	0.0	0.0	0.0	0.0	94.0	98.0	153.0	311.0	120.0	63.0	79.0	14.0	126.0	90.0
ASV_449	0.0	0.0	0.0	0.0	0.0	28.0	29.0	0.0	50.0	0.0	223.0	247.0	103.0	189.0	274.0
ASV_450	0.0	0.0	0.0	0.0	0.0	149.0	203.0	208.0	404.0	171.0	0.0	0.0	0.0	0.0	0.0
ASV_452	0.0	0.0	0.0	0.0	0.0	67.0	133.0	133.0	210.0	198.0	113.0	81.0	11.0	80.0	102.0
ASV_453	282.0	152.0	314.0	265.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_454	0.0	0.0	0.0	0.0	0.0	196.0	161.0	77.0	479.0	211.0	0.0	0.0	0.0	0.0	0.0
ASV_460	0.0	0.0	0.0	0.0	0.0	64.0	81.0	95.0	90.0	70.0	236.0	91.0	33.0	147.0	185.0
ASV_469	76.0	70.0	93.0	80.0	0.0	89.0	160.0	112.0	213.0	107.0	20.0	5.0	5.0	17.0	20.0
ASV_470	0.0	0.0	7.0	0.0	0.0	16.0	27.0	29.0	21.0	19.0	137.0	64.0	36.0	166.0	108.0
ASV_471	141.0	174.0	341.0	153.0	96.0	18.0	24.0	31.0	32.0	38.0	12.0	0.0	0.0	0.0	0.0
ASV_473	0.0	0.0	0.0	0.0	0.0	65.0	138.0	56.0	171.0	106.0	147.0	75.0	43.0	97.0	156.0
