#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_938			Choanoflagellata	Craspedida	Salpingoecidae	Lagenoeca	
ASV_943		Bacillariophyta	Mediophyceae				
ASV_945							marine metagenome
ASV_946			Dinophyceae				
ASV_950			Dinophyceae				
ASV_965			Dinophyceae				
ASV_969			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	
ASV_974	Metazoa	Chordata	Ascidiacea	Stolidobranchia			
ASV_983		Cercozoa					
ASV_984	Metazoa	Arthropoda	Hexanauplia	Cyclopoida			
ASV_985			Dinophyceae	Gonyaulacales			
ASV_986			Dinophyceae	Syndiniales			uncultured Duboscquella
ASV_987		Cercozoa					
ASV_988		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae		
ASV_991			Dinophyceae	Syndiniales			
ASV_1003	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas australis
ASV_1005		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	
ASV_1008							
ASV_1010		Bacillariophyta	Mediophyceae				
ASV_1023			Choanoflagellata	Craspedida	Salpingoecidae	Bicosta	Bicosta minor
ASV_1031							
ASV_1033	Metazoa	Arthropoda	Hexanauplia	Calanoida			
ASV_1039		Picozoa					
ASV_1042		Cercozoa	Chlorarachniophyceae				
ASV_1051			Dinophyceae				
ASV_1058			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	uncultured Gyrodinium
ASV_1061		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae		
ASV_1062			Dinophyceae	Syndiniales			
ASV_1063			Dinophyceae				
ASV_1073		Cercozoa					
ASV_1079		Cercozoa					
ASV_1081			Dinophyceae				
ASV_1091		Picozoa	Picomonadea	Picomonadida			
ASV_1093	Metazoa	Arthropoda	Hexanauplia	Calanoida			
ASV_1097			Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Aureococcus	Aureococcus anophagefferens
ASV_1102		Haptophyta		Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis galbana
ASV_1107	Viridiplantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	
ASV_1113			Dinophyceae	Syndiniales			
ASV_1120			Dinophyceae				
ASV_1121		Haptophyta		Prymnesiales			
ASV_1124	Metazoa	Annelida	Sipuncula	Golfingiida			
ASV_1125			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	
ASV_1126		Ciliophora	Spirotrichea				
ASV_1129			Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium veneficum
ASV_1141							
ASV_1142		Haptophyta		Prymnesiales			
ASV_1143			Dinophyceae	Dinophysales	Dinophysaceae	Sinophysis	
ASV_1149			Cryptophyceae	Cryptomonadales			
ASV_1155			Cryptophyceae	Cryptomonadales			
ASV_1157		Cercozoa					
ASV_1163			Dinophyceae	Syndiniales			
ASV_1164		Ciliophora	Spirotrichea		Strombidiidae	Strombidium	
ASV_1165			Cryptophyceae				uncultured Cryptophyta
ASV_1175			Dinophyceae	Syndiniales			
ASV_1194			Dinophyceae	Syndiniales			
ASV_1201		Cercozoa					
ASV_1203			Dinophyceae				
ASV_1207	Metazoa	Porifera	Demospongiae	Poecilosclerida			
ASV_1208		Ciliophora	Spirotrichea				
ASV_1209			Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	
ASV_1217			Dinophyceae				
ASV_1218			Cryptophyceae	Kathablepharidacea	Katablepharidaceae		
ASV_1231		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis pouchetii
ASV_1232							
ASV_1238							
ASV_1239	Metazoa	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	Phallusia	Phallusia fumigata
ASV_1240	Metazoa	Ctenophora	Tentaculata	Cydippida			
ASV_1244							marine metagenome
ASV_1247	Fungi	Ascomycota					
ASV_1257		Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Brockmanniella	Brockmanniella brockmannii
ASV_1259		Picozoa					
ASV_1272							
ASV_1273	Metazoa	Annelida	Polychaeta	Spionida			
ASV_1284		Haptophyta		Prymnesiales			
ASV_1285	Metazoa	Arthropoda	Hexanauplia	Harpacticoida	Tachidiidae	Tachidius	Tachidius triangularis
ASV_1288	Metazoa	Annelida	Polychaeta	Eunicida			
ASV_1290			Dinophyceae	Syndiniales			
ASV_1299		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae		
ASV_1301		Ciliophora	Spirotrichea				
ASV_1302		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae		
ASV_1303	Metazoa	Mollusca	Bivalvia	Myida			
ASV_1309		Ciliophora	Spirotrichea				
ASV_1312							
ASV_1313			Dinophyceae	Syndiniales			
ASV_1324	Metazoa	Annelida	Polychaeta	Spionida			
ASV_1328							
ASV_1334		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	
ASV_1338			Dinophyceae	Syndiniales			uncultured Duboscquella
ASV_1346			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	
ASV_1347			Dinophyceae	Syndiniales			
ASV_1353		Cercozoa					
ASV_1356	Metazoa	Chordata	Ascidiacea	Stolidobranchia			
ASV_1358		Cercozoa	Chlorarachniophyceae			Minorisa	
ASV_1366			Dinophyceae	Syndiniales			
ASV_1376			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	
ASV_1379			Dinophyceae				
ASV_1385		Ciliophora	Spirotrichea				
ASV_1387							
ASV_1400			Cryptophyceae				
ASV_1404		Bacillariophyta	Mediophyceae				
ASV_1406							
ASV_1416							
ASV_1418		Cercozoa					
ASV_1422	Viridiplantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales			
ASV_1426							
ASV_1430			Dinophyceae				
ASV_1431			Dinophyceae				
ASV_1433		Picozoa	Picomonadea	Picomonadida			
ASV_1436							
ASV_1439							
ASV_1450		Picozoa	Picomonadea	Picomonadida			
ASV_1455		Bacillariophyta	Mediophyceae				
ASV_1460		Cercozoa					uncultured Cercozoa
ASV_1470	Metazoa	Bryozoa	Gymnolaemata	Cheilostomatida	Membraniporidae	Membranipora	Membranipora membranacea
ASV_1471	Metazoa	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	Phallusia	Phallusia mammillata
ASV_1472		Ciliophora	Spirotrichea				
ASV_1477		Ciliophora	Spirotrichea				
ASV_1486			Cryptophyceae	Kathablepharidacea	Katablepharidaceae		
ASV_1489							
ASV_1490		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina leadbeateri
ASV_1495	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	
ASV_1500		Haptophyta		Prymnesiales			
ASV_1502		Cercozoa	Chlorarachniophyceae				
ASV_1503	Metazoa	Arthropoda	Hexanauplia	Calanoida			
ASV_1506	Metazoa	Porifera	Demospongiae	Poecilosclerida	Hymedesmiidae	Hymedesmia	Hymedesmia pansa
ASV_1507			Dinophyceae	Gonyaulacales		Grammatodinium	Grammatodinium tongyeonginum
ASV_1510		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	
ASV_1518		Cercozoa					
ASV_1521							
ASV_1526		Cercozoa					
ASV_1534		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis pouchetii
ASV_1537		Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia setigera
ASV_1542		Haptophyta		Prymnesiales			
ASV_1543		Cercozoa	Thecofilosea	Ventricleftida	Ventrifissuridae	Ventrifissura	
ASV_1544			Cryptophyceae				uncultured Cryptophyta
ASV_1545	Metazoa	Chordata	Appendicularia	Copelata	Oikopleuridae	Oikopleura	
ASV_1551				Pirsoniales	Pirsoniaceae	Pirsonia	Pirsonia verrucosa
ASV_1559			Cryptophyceae				uncultured Cryptophyta
ASV_1562		Cercozoa					
ASV_1566		Ciliophora	Spirotrichea				
ASV_1576	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Carteria	
ASV_1578	Metazoa	Arthropoda	Hexanauplia	Calanoida			
ASV_1581		Haptophyta					
ASV_1582			Dinophyceae	Syndiniales			
ASV_1584			Dinophyceae				
ASV_1589			Dinophyceae	Syndiniales			
ASV_1593		Ciliophora	Spirotrichea				
ASV_1601							
ASV_1602	Metazoa	Mollusca	Bivalvia	Pectinida	Pectinidae	Placopecten	Placopecten magellanicus
ASV_1604		Haptophyta		Prymnesiales			
ASV_1609		Ciliophora	Spirotrichea	Tintinnida	Tintinnidae	Salpingella	
ASV_1634			Dinophyceae	Syndiniales			
ASV_1637		Bacillariophyta	Mediophyceae				
ASV_1643	Metazoa	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	Phallusia	Phallusia nigra
ASV_1654			Filasterea				
ASV_1656		Haptophyta		Prymnesiales			
ASV_1660			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	
ASV_1665			Dinophyceae	Syndiniales			
ASV_1666			Dinophyceae	Syndiniales			
ASV_1668			Dinophyceae	Syndiniales			
ASV_1678							uncultured Rhizaria
ASV_1679			Dinophyceae	Syndiniales			
ASV_1689			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Paragymnodinium	
ASV_1694			Dinophyceae				
ASV_1699			Cryptophyceae	Cryptomonadales			
ASV_1704		Ciliophora	Spirotrichea		Strombidiidae	Strombidium	
ASV_1712		Cercozoa					
ASV_1714							
